+------------+-------+---------------------+---------------------+----------+----------+
| userid     | shift | shiftdate           | received            | event_id | position |
+------------+-------+---------------------+---------------------+----------+----------+
| rond46     | 2     | 2009-04-18 00:00:00 | 2009-03-03 00:00:00 |        2 | E2       |
| rond46     | 3     | 2009-04-18 00:00:00 | 2009-03-03 00:00:00 |        3 | E2       |
| dave11     | 1     | 2009-03-04 00:00:00 | 2009-03-05 00:00:00 |        5 | D        |
| dave11     | 2     | 2009-03-04 00:00:00 | 2009-03-05 00:00:00 |        6 | D        |
| dave11     | 3     | 2009-03-04 00:00:00 | 2009-03-05 00:00:00 |        7 | D        |
| dave11     | 1     | 2009-03-05 00:00:00 | 2009-03-05 00:00:00 |        8 | D        |
| dave11     | 2     | 2009-03-05 00:00:00 | 2009-03-05 00:00:00 |        9 | D        |
| dawnb12    | 2     | 2009-03-20 00:00:00 | 2009-03-17 00:00:00 |       10 | E1       |
| dawnb12    | 3     | 2009-03-20 00:00:00 | 2009-03-17 00:00:00 |       11 | E1       |
| drew44     | 2     | 2009-03-20 00:00:00 | 2009-03-17 00:00:00 |       12 | E2       |
| drew44     | 3     | 2009-03-20 00:00:00 | 2009-03-17 00:00:00 |       13 | E2       |
| drew44     | 3     | 2009-03-27 00:00:00 | 2009-03-20 00:00:00 |       14 | E2       |
| drew44     | 4     | 2009-03-30 00:00:00 | 2009-03-20 00:00:00 |       15 | E2       |
| mauree38   | 3     | 2009-03-27 00:00:00 | 2009-03-20 00:00:00 |       16 | E1       |
| mauree38   | 4     | 2009-03-30 00:00:00 | 2009-03-20 00:00:00 |       17 | E1       |
| carolyn2   | 3     | 2009-03-21 00:00:00 | 2009-03-23 00:00:00 |       18 | E1       |
| drew44     | 3     | 2009-03-21 00:00:00 | 2009-03-23 00:00:00 |       19 | E2       |
| dave11     | 1     | 2009-03-25 00:00:00 | 2009-03-23 00:00:00 |       20 | D        |
| dave11     | 2     | 2009-03-25 00:00:00 | 2009-03-23 00:00:00 |       21 | D        |
| dave11     | 3     | 2009-03-25 00:00:00 | 2009-03-23 00:00:00 |       22 | D        |
