+--------------+-------+---------------------+---------------------+----------+----------+
| userid       | shift | shiftdate           | received            | event_id | position |
+--------------+-------+---------------------+---------------------+----------+----------+
| kristinh40   | 3     | 2010-01-01 00:00:00 | 2009-12-29 00:00:00 |      440 | E1       |
| kristinh40   | 2     | 2010-01-01 00:00:00 | 2009-12-29 00:00:00 |      439 | E1       |
| mauree38     | 1     | 2010-01-09 00:00:00 | 2010-01-08 00:00:00 |      487 | E2       |
| jan017       | 3     | 2010-01-10 00:00:00 | 2009-12-28 00:00:00 |      437 | E2       |
| kristinh40   | 4     | 2010-01-01 00:00:00 | 2009-12-29 00:00:00 |      438 | E1       |
| dave11       | 2     | 2010-01-01 00:00:00 | 2009-12-29 00:00:00 |      441 | D        |
| dave11       | 3     | 2010-01-01 00:00:00 | 2009-12-29 00:00:00 |      442 | D        |
| dave11       | 4     | 2010-01-01 00:00:00 | 2009-12-29 00:00:00 |      443 | D        |
| dave11       | 1     | 2010-01-02 00:00:00 | 2009-12-29 00:00:00 |      444 | D        |
| dave11       | 2     | 2010-01-02 00:00:00 | 2010-01-02 00:00:00 |      445 | D        |
| kristinh40   | 1     | 2010-01-07 00:00:00 | 2010-01-07 00:00:00 |      467 | E1       |
| kristinh40   | 1     | 2010-01-02 00:00:00 | 2010-01-03 00:00:00 |      448 | E1       |
| kristinh40   | 2     | 2010-01-02 00:00:00 | 2010-01-03 00:00:00 |      449 | E1       |
| kristinh40   | 2     | 2010-01-05 00:00:00 | 2010-01-05 00:00:00 |      450 | E1       |
| kristinh40   | 3     | 2010-01-05 00:00:00 | 2010-01-05 00:00:00 |      451 | E1       |
| kristinh40   | 4     | 2010-01-05 00:00:00 | 2010-01-05 00:00:00 |      452 | E1       |
| kristinh40   | 1     | 2010-01-06 00:00:00 | 2010-01-05 00:00:00 |      453 | E1       |
| kristinh40   | 2     | 2010-01-06 00:00:00 | 2010-01-05 00:00:00 |      454 | E1       |
| kristinh40   | 3     | 2010-01-06 00:00:00 | 2010-01-05 00:00:00 |      455 | E1       |
| kristinh40   | 4     | 2010-01-06 00:00:00 | 2010-01-05 00:00:00 |      456 | E1       |
| dave11       | 2     | 2010-01-05 00:00:00 | 2010-01-05 00:00:00 |      457 | D        |
