+----------------+-------+---------------------+---------------------+----------+----------+
| userid         | shift | shiftdate           | received            | event_id | position |
+----------------+-------+---------------------+---------------------+----------+----------+
| dave11         | 2     | 2011-01-01 00:00:00 | 2010-11-15 00:00:00 |     1516 | D        |
| dave11         | 3     | 2011-01-01 00:00:00 | 2010-11-15 00:00:00 |     1517 | D        |
| chadb16        | 2     | 2011-01-01 00:00:00 | 2010-11-15 00:00:00 |     1518 | E2       |
| chadb16        | 3     | 2011-01-01 00:00:00 | 2010-11-15 00:00:00 |     1519 | E2       |
| dennisb01      | 2     | 2011-01-01 00:00:00 | 2010-12-05 00:00:00 |     1545 | E1       |
| dennisb01      | 3     | 2011-01-01 00:00:00 | 2010-12-05 00:00:00 |     1546 | E1       |
| joant14        | 3     | 2011-01-11 00:00:00 | 2011-01-05 00:00:00 |     1567 | E2       |
| joant14        | 4     | 2011-01-11 00:00:00 | 2011-01-05 00:00:00 |     1568 | E2       |
| joant14        | 1     | 2011-01-12 00:00:00 | 2011-01-05 00:00:00 |     1569 | E2       |
| joant14        | 2     | 2011-01-12 00:00:00 | 2011-01-05 00:00:00 |     1570 | E2       |
| paulb31        | 4     | 2011-01-06 00:00:00 | 2011-01-06 00:00:00 |     1571 | D        |
| paulb31        | 1     | 2011-01-07 00:00:00 | 2011-01-06 00:00:00 |     1572 | D        |
| rond46         | 4     | 2011-01-06 00:00:00 | 2011-01-06 00:00:00 |     1573 | E1       |
| rond46         | 1     | 2011-01-07 00:00:00 | 2011-01-06 00:00:00 |     1574 | E1       |
| drew44         | 4     | 2011-01-06 00:00:00 | 2011-01-06 00:00:00 |     1575 | E2       |
| drew44         | 1     | 2011-01-07 00:00:00 | 2011-01-06 00:00:00 |     1576 | E2       |
| vickil05       | 3     | 2011-01-08 00:00:00 | 2011-01-06 00:00:00 |     1577 | E2       |
| kaiap06        | 3     | 2011-01-11 00:00:00 | 2011-01-06 00:00:00 |     1578 | D        |
| kaiap06        | 4     | 2011-01-11 00:00:00 | 2011-01-06 00:00:00 |     1579 | D        |
